Date,Code,LongSellValue,ShortSellWithoutMarginValue,MarginSellNewValue,MarginSellCloseValue,LongBuyValue,MarginBuyNewValue,MarginBuyCloseValue,LongSellVolume,ShortSellWithoutMarginVolume,MarginSellNewVolume,MarginSellCloseVolume,LongBuyVolume,MarginBuyNewVolume,MarginBuyCloseVolume,Open,High,Low,Close,UpperLimit,LowerLimit,Volume,TurnoverValue,AdjustmentFactor,AdjustmentOpen,AdjustmentHigh,AdjustmentLow,AdjustmentClose,AdjustmentVolume,MorningOpen,MorningHigh,MorningLow,MorningClose,MorningUpperLimit,MorningLowerLimit,MorningVolume,MorningTurnoverValue,MorningAdjustmentOpen,MorningAdjustmentHigh,MorningAdjustmentLow,MorningAdjustmentClose,MorningAdjustmentVolume,AfternoonOpen,AfternoonHigh,AfternoonLow,AfternoonClose,AfternoonUpperLimit,AfternoonLowerLimit,AfternoonVolume,AfternoonTurnoverValue,AfternoonAdjustmentOpen,AfternoonAdjustmentHigh,AfternoonAdjustmentLow,AfternoonAdjustmentClose,AfternoonAdjustmentVolume,OpenCloseReturn,OpenCloseReturnRatio
2022-01-19,84110,7227992450.0,10047318950.0,593142700.0,839495950.0,16467368350.0,1611268750.0,629312950.0,4605600.0,6402500.0,377300.0,535300.0,10492600.0,1027100.0,401000.0,1565.5,1590.5,1556.5,1565.0,0,0,11920700.0,18707950050.0,1.0,1565.5,1590.5,1556.5,1565.0,11920700.0,1565.5,1590.5,1565.0,1572.0,0,0,5166400.0,8146696900.0,1565.5,1590.5,1565.0,1572.0,5166400.0,1566.0,1569.0,1556.5,1565.0,0,0,6754300.0,10561253150.0,1566.0,1569.0,1556.5,1565.0,6754300.0,-0.5,-0.031938677738741615
2022-01-20,84110,7165525950.0,6465808200.0,801811400.0,883918000.0,13708445050.0,733547750.0,875070750.0,4574400.0,4127000.0,512000.0,563800.0,8749500.0,469100.0,558600.0,1554.0,1578.0,1552.5,1565.5,0,0,9777200.0,15317063550.0,1.0,1554.0,1578.0,1552.5,1565.5,9777200.0,1554.0,1571.0,1552.5,1568.0,0,0,4577700.0,7158057350.0,1554.0,1571.0,1552.5,1568.0,4577700.0,1570.5,1578.0,1565.5,1565.5,0,0,5199500.0,8159006200.0,1570.5,1578.0,1565.5,1565.5,5199500.0,11.5,0.7400257400257401
2022-01-21,84110,5738657300.0,8433202800.0,466216100.0,774652850.0,13703305750.0,1104577900.0,604845400.0,3708600.0,5455400.0,300900.0,500600.0,8859900.0,714300.0,391300.0,1560.0,1561.5,1533.0,1552.5,0,0,9965500.0,15412729050.0,1.0,1560.0,1561.5,1533.0,1552.5,9965500.0,1560.0,1561.5,1533.0,1549.5,0,0,5396800.0,8336092150.0,1560.0,1561.5,1533.0,1549.5,5396800.0,1547.0,1554.0,1542.5,1552.5,0,0,4568700.0,7076636900.0,1547.0,1554.0,1542.5,1552.5,4568700.0,-7.5,-0.4807692307692308
2022-01-24,84110,5873635750.0,5308109800.0,812435400.0,1402139750.0,12102438800.0,811484950.0,482396950.0,3722900.0,3365800.0,516500.0,891200.0,7674200.0,515500.0,306700.0,1557.0,1589.0,1555.0,1585.5,0,0,8496400.0,13396320700.0,1.0,1557.0,1589.0,1555.0,1585.5,8496400.0,1557.0,1581.0,1555.0,1579.0,0,0,3533800.0,5534043700.0,1557.0,1581.0,1555.0,1579.0,3533800.0,1586.0,1589.0,1579.5,1585.5,0,0,4962600.0,7862277000.0,1586.0,1589.0,1579.5,1585.5,4962600.0,28.5,1.8304431599229287
2022-01-25,84110,9858080950.0,8706821650.0,574720750.0,1193410450.0,17195342400.0,2327459650.0,810231750.0,6357500.0,5617200.0,368000.0,769900.0,11091900.0,1499500.0,521200.0,1577.0,1578.5,1538.0,1545.5,0,0,13112600.0,20333033800.0,1.0,1577.0,1578.5,1538.0,1545.5,13112600.0,1577.0,1578.5,1538.5,1539.0,0,0,6649700.0,10356611900.0,1577.0,1578.5,1538.5,1539.0,6649700.0,1540.0,1547.5,1538.0,1545.5,0,0,6462900.0,9976421900.0,1540.0,1547.5,1538.0,1545.5,6462900.0,-31.5,-1.9974635383639823
2022-01-26,84110,6839991250.0,4898131000.0,365063700.0,1272906700.0,12228565250.0,764944200.0,382583200.0,4386300.0,3140300.0,233800.0,814800.0,7839300.0,490700.0,245200.0,1559.5,1569.5,1554.0,1557.0,0,0,8575200.0,13376092650.0,1.0,1559.5,1569.5,1554.0,1557.0,8575200.0,1559.5,1569.5,1554.0,1562.0,0,0,4361700.0,6811773650.0,1559.5,1569.5,1554.0,1562.0,4361700.0,1557.5,1561.5,1556.0,1557.0,0,0,4213500.0,6564319000.0,1557.5,1561.5,1556.0,1557.0,4213500.0,-2.5,-0.1603077909586406
2022-01-27,84110,7256559100.0,9328187300.0,300581400.0,1324724300.0,16097040450.0,1751169200.0,361842450.0,4663800.0,5997100.0,192500.0,849700.0,10344800.0,1125300.0,233000.0,1574.5,1582.0,1538.5,1546.0,0,0,11703100.0,18210052100.0,1.0,1574.5,1582.0,1538.5,1546.0,11703100.0,1574.5,1582.0,1547.0,1547.5,0,0,5677500.0,8886806650.0,1574.5,1582.0,1547.0,1547.5,5677500.0,1545.5,1555.5,1538.5,1546.0,0,0,6025600.0,9323245450.0,1545.5,1555.5,1538.5,1546.0,6025600.0,-28.5,-1.8100984439504604
2022-01-28,84110,6135412700.0,4807820200.0,500718850.0,1297068850.0,11836208150.0,655427800.0,249384650.0,3915200.0,3068400.0,319600.0,828100.0,7553700.0,418600.0,159000.0,1557.0,1573.0,1555.0,1571.0,0,0,8131300.0,12741020600.0,1.0,1557.0,1573.0,1555.0,1571.0,8131300.0,1557.0,1573.0,1555.0,1569.0,0,0,4206200.0,6581488300.0,1557.0,1573.0,1555.0,1569.0,4206200.0,1569.0,1571.5,1564.0,1571.0,0,0,3925100.0,6159532300.0,1569.0,1571.5,1564.0,1571.0,3925100.0,14.0,0.8991650610147719
2022-01-31,84110,7418814250.0,5321636850.0,232995100.0,1049832000.0,11893905950.0,1703136150.0,426236100.0,4788400.0,3435500.0,150300.0,677400.0,7676600.0,1099800.0,275200.0,1550.0,1555.5,1542.0,1550.0,0,0,9051600.0,14023278200.0,1.0,1550.0,1555.5,1542.0,1550.0,9051600.0,1550.0,1553.5,1542.0,1552.0,0,0,3775500.0,5848629800.0,1550.0,1553.5,1542.0,1552.0,3775500.0,1551.5,1555.5,1543.5,1550.0,0,0,5276100.0,8174648400.0,1551.5,1555.5,1543.5,1550.0,5276100.0,0.0,0.0
2022-02-01,84110,5566737250.0,6013161550.0,284441600.0,1320062450.0,11801007500.0,1051768550.0,331626800.0,3573700.0,3861600.0,183000.0,847900.0,7576700.0,676500.0,213000.0,1543.0,1564.0,1540.0,1560.0,0,0,8466200.0,13184402850.0,1.0,1543.0,1564.0,1540.0,1560.0,8466200.0,1543.0,1564.0,1540.0,1562.0,0,0,3992200.0,6211722650.0,1543.0,1564.0,1540.0,1562.0,3992200.0,1558.5,1564.0,1552.0,1560.0,0,0,4474000.0,6972680200.0,1558.5,1564.0,1552.0,1560.0,4474000.0,17.0,1.1017498379779649
